Brand Name	Generic Name
Lovaza	omega-3-acid ethyl esters
Lovenox	enoxaparin sodium
Lucentis	ranibizumab injection
Lumigan	bimatoprost ophthalmic solution
Lumizyme IV	alglucosidase alfa
Lunesta	eszopiclone
Lupaneta Pack Injection/Tablet	leuprolide acetate/norethindrone acetate
Lupron Depot	leuprolide acetate
Lupron Depot (ped)	leuprolide acetate for depot supspension
Lynparza	olaparib
Lynparza Capsule	olaparib
Lyrica	pregabalin
Lysodren	mitotane
M-M-R ll	measles, mumps, and rubella virus vaccine live
Macugen injection	pegaptanb sodium
Mag-Tab SR	magnesium L-lactate dihydrate
Makena Injection	hydroxyprogesterone caproate
Malarone tablets	atovaquone and proguanil hcl
Marinol capsules	dronabinol
Marplan	isocarboxazid
Marqibo Injectable	vinCRIStine sulfate
Mastisol	liquid adhesive
MatriStem Wound Matrix	lyophilized extracellular matrix
Matulane	procarbazine HCL
Maxalt	rizatriptan benzoate
Maxalt-MLT	rizatriptan benzoate
Maxidex	dexamethasone suspension
Medrol	methylprednisolone
Mekinist	trametinib
Menactra	Polysaccharide Diphtheria Toxoid Conjugate Vaccine
Menest	esterified estrogens
Menomune	meningococcal polysaccharide vaccine
Menopur Injection	menotropins
Menostar	estradiol transdermal system
Mephyton tablets	phytonadione
Mepron suspension	atovaquone
Merrem I.V.	meropenem for injection
Mestinon	pyridostigmine bromide
Mestinon, syrup	pyridostigmine bromide
Metabolic Products Powder	infant formula
Miacalcin	calcitonin-salmon
Migranal nasal spray	dihydroergotamine mesylate
Minocin capsules	minocycline
Mirena	levonorgestrel-releasing intrauterine system
Mirvaso Topical Gel	brimonidine
Monoclate-P	Antihemophilic Factor (Human) Factor VIII:C Pasteurized
MonoNine Injection	factor ix
Monovisc	sodium hyaluronate
Monurol Powder	fosfomycin
Movantik	naloxegol oxalate
MoviPrep	PEG-3350, sodium sulfate, sodium chloride, potassium chloride, sodium ascorbate and ascorbic acid for oral solution
Mozobil	plerixafor injection
MuGard oral rinse	mucadhesive
Multaq	dronedarone tablets
Mustargen Injection	mechlorethamine injectable
Mycamine injection	micafungin sodium
Mycobutin	rifabutin
Myfortic	mycophenolic acid
Myobloc Injection	rimabotulinumtoxinB
Myozyme	alglucosidase alfa
Myrbetriq	mirabegron
Mysoline	primidone
Mytesi tablet; delayed-release	crofelemer
Namenda Oral Solution	memantine
Namenda Tablets	memantine hcl
Namenda Titration Pak	memantine hcl
Namenda XR capsule	memantine
Namzaric Capsules	memantine hydrochloride extended-_release and donepezil _hydrochloride
Nardil	phenelzine sulfate
Nascobal nasal spray	cyanocobalamin
Nasonex	mometasone furoate
Natazia	estradiol valerate/dienogest
Natpara Injection	parathyroid hormone
Neocate Powdered Formula	Neocate Powdered Formula
Neoral	cyclosporine
Nesina	alogliptin
Neulasta	pegfilgrastim
Neupogen	filgrastim
Neupro Transdermal System	rotigotine
Neurontin	gabapentin
Nevanac	nepafenac suspension
Nexavar	sorafenib
Nexium for Oral Suspension	esomeprazole magnesium
Nexium I.V. injection	esomeprazole sodium injection
Nicotrol	nicotine
Ninlaro	ixazomib
Nitro-dur	nitroglycerin
NitroMist Spray	nitroglycerin lingual aerosol
Nitrostat	nitroglycerin
Norditropin FlexPro Injection 5mg, 10mg, 15mg	somatropin (rDNA origin)
Norditropin NordiFlex Injection 30mg	somatropin (rDNA origin)
Norpace	disopyramide
Northera Capsule	droxidopa
Norvasc	amlodipine besylate
Norvir oral solution	ritonavir oral solution
Norvir Soft Gelatin Capsules	ritonavir soft gelatin capsules
Norvir Tablets	ritonavir tablets
Novarel Injection	chorionic gonadotropin
Novocure NovoTTF-100a Medical Device	tumor treating fields
Novoeight vial	antihemophilic factor (recombinant) vial
NovoFine 30G	needles
NovoFine 32G Tip	needle tip
Novolin 70/30 Vials	insulin (rDNA)
Novolin N Vials	70% NPH/30% regular human insulin (rDNA)
Novolin R Vials	regular, human insulin injection (rDNA)
NovoLog	insulin analog injection
NovoLog 70/30 FlexPen	insulin analog injection
NovoLog FlexPen	insulin analog injection
NovoLog Mix 70/30	insulin analog injection
NovoSeven RT injection	coagulation factor viia (recombinant)
NovoTwist 32G	needles
Noxafil	posaconazole
Nplate	romiplostim
Nucala	mepolizumab
Nuedexta	dextromethorphan hydrobromide and quinidine sulfate
Nulojix	belatacept
Nutramigen Liquid	infant formula
Nutramigen Powder	infant formula
Nutren 1.0 with Fiber	nutren 1.0 with fiber
Nutren 1.5	nutren 1.5
Nutren Junior	nutren junior
Nutren Junior Fiber	nutren junior fiber
Nutropin AQ	somatropin (rDNA) injection
Nuvigil	armodafinil
Odefsey	emtricitabine/rilpivirine/tenofovir alafenamide
Odomzo	sonidegib
Ofev Capsule	nintedanib
Olysio	simeprevir
Omnaris Nasal Spray	ciclesonide
Omnitrope	somatropin [rDNA origin] for injection
Omnitrope Injection	somatropin (rDNA)
Oncaspar	pegaspargase
Onfi Tablet	clobazam
Onglyza	saxagliptin
Onivyde injection	irinotecan liposome
Opdivo Injection	nivolumab
Opsumit Tablet	macitentan
Optune Medical Device	tumor treating fields
Oracea Capsule	doxycycline
ORAP (tablets)	pimozide
Orbactiv	oritavancin
Orencia	abatacept
Orenitram tablet; extended release	treprostinil
Orfadin	nitisinone
Orkambi	lumacaftor/ivacaftor
Ortho-Prefest	estrogens and progestins
Orthovisc	hyaluronan
Oseni	alogliptin and pioglitazone
Osphena tablet 60mg	ospemifene
Otezla Tablet	apremilast
Otrexup Injection	methotrexate
Ovidrel injection	choriogonadotropin alfa
Oxsoralen Lotion	methoxsalen
Oxsoralen-Ultra	methoxsalen USP
Oxtellar XR Tablet	oxcarbazepine
Oxycontin Tablet	oxycodone
Ozurdex Intravitreal Implant	dexamethasone
Pamelor (capsules)	nortriptyline
Pamelor (solution)	nortriptyline
Pancreaze Delayed-Release Capsules	pancrelipase
Panhematin Injection	hemin
Pataday	olopatadine hydrochloride solution
Pazeo	olopatadine hydrochloride solution
Peganone Tablets	ethotoin
Pegasys	peginterferon
Pegasys ProClick	peginterferon alfa-2a
Pennsaid	diclofenac sodium solution; topical
Pentasa	mesalamine
Peptamen	peptamen
Peptamen 1.5	peptamen 1.5
Peptamen Junior	peptamen junior
Peptamen Junior Fiber	peptamen junior fiber
Peptamen Junior PreBio	peptamen junior prebio
Peptamen PreBio	peptamen prebio
Perforomist	formoterol fumarate
PERJETA	pertuzumab
Pertzye capsule	amylase/lipase/pancrelipase/protease
Pfizerpen	penicillin G potassium
Phoslyra	calcium acetate
Phospholine Iodide for Ophthalmic Solution	echothiophate iodide
Photofrin injection	porfimer sodium injection
Picato Gel	ingenol mebutate
Plegridy Injection	peginterferon beta1a
Pneumovax 23	pneumococcal vaccine polyvalent
Pomalyst capsule	pomalidomide
Portrazza	necitumumab
Potaba tablets	potassium p-aminobenzoate
Potiga tablet	ezogabine
Pradaxa Capsules	dabigatran etexilate
Praluent	alirocumab
Precose	acarbose
Pred Forte Ophthalmic Suspension 1.0%	prednisolone acetate
Pregestimil Powder	infant formula
Premarin	conjugated estrogens
Premarin vaginal cream	conjugated estrogens
Premphase	conjugated estrogens/medroxyprogesterone acetate tablets
Prempro	conjugated estrogens; medroxyprogesterone acetate
Prenate AM tablets	Prenatal Vitamin
Prenate Chewable	Prenatal Vitamin
Prenate DHA tablets	Prenatal Vitamin
Prenate Elite tablets	Prenatal Vitamin
Prenate Enhance	vitamin/mineral supplement
Prenate Essential	Prenatal Vitamin DHA
Prenate Restore	vitamin/mineral supplement
Prenate Star	multivitamin/mineral
Prevacid SoluTab	lansoprazole
Prevnar 13	pneumococcal 13-valent conjugate vaccine [Diphtheria CRM197 Protein]
Prezcobix Tablets	darunavir/cobicistat
Prezista	darunavir
Prialt	ziconotide infusion
Priftin	rifapentine tablets
Primaxin IM	impenem-cilastatin
Primaxin IV	impenem-cilastatin
Primlev	Oxycodone HCI/Acetaminophen
Pristiq	desvenlafaxine
ProAir Hfa inhaler	albuterol hfa
Procanbid	procainamide HCI extended-release tablets
Procardia	nifedipine
Procardia XL	nifedipine extended release
Procrit	epoetin alfa
Proctocort 1% cream	hydrocortisone cream USP, 1%
Proctocort Cream	hydrocortisone
Proctocort suppositories	hydrocortisone acetate rectal suppositories, 30 mg
Procysbi	cysteamine bitartrate delayed-release capsule
Prodigy Insulin Syringes	Insulin Syringes
Prodigy No Coding Blood Glucose Strips	blood glucose strips
Prodigy Preferred Blood Glucose Monitor	blood glucose monitor
Prodigy Twist Top Lancets 28G	lancets
ProfilNine	faxtor ix complex
Proglycem oral suspension	diazoxide
Prograf	tacrolimus capsule
Prolensa	bromfenac sodium solution
Prolia	denosumab
Promacta	eltrombopag
Prostigmin Tablets	neostigmine methylsulfate
Protonix	pantoprazole sodium
Provenge	sipuleucel-t
Proventil HFA Inhaler	albuterol
Provera	medroxyprogesterone acetate
Prozac	fluoxetine HCL
Prozac Weekly	fluoxetine HCL
Pulmicort Flexhaler	budesonide inhalation powder
Pulmozyme	dornase alfa recombinant inhalation solution
PurAmino Powder	infant formula
PuraPly AM Wound Dressing	wound matrix
PuraPly Wound Dressing	wound matrix
Pylera Capsules	bismuth subcitrate potassuim, metronidazole, tetracycline HCI
QNASL Nasal Aerosol	beclomethasone dipropionate
Quibron	theophylline;guaifenesin
Quibron T	theophylline
Quibron T/SR	theophylline
Quillichew ER	methylphenidate hydrochloride
Quillivant XR	methylphenidate hydrochloride
Qvar	beclomethasone dipropionate hfa
R-Gene 10 Injection	10% arginine hydrochloride, USP
Rabavert	rabies vaccine
Ragwitek	short ragweed pollen allergen extract
Ranexa	ranolazine extended-release tablets
Rapaflo	silodosin
Rapamune	sirolimus
Ravicti Liquid	glycerol phenylbutyrate
Rayos Tablet, Extended Release	prednisone
Rebif subcutaneous	interferon beta-1a
Reclast	zolendronic acid
Recombinate rAHF	recominant
Recombivax Hb	Hepatitis B vaccine (recombinant)
Rectiv ointment	nitroglycerin
Relenza	zanamivir for inhalation
Relistor	methylnaltrexone bromide
Relpax	eletriptan HBr
Remicade	infliximab
Remodulin injection	treprostinil
Renvela 800mg tablets	sevelamer carbonate
Renvela Powder 2.4g	sevelamer carbonate for oral suspension
Reopro	abciximab
Repatha	evolocumab
Requip XL	ropinirole extended-release tablets
Rescriptor	delavirdine mesylate
Restasis	cyclosporine
Restoril (capsules)	temazepam
Retisert Intravitreal Implant	fluocinolone acetonide
Retrovir capsules	zidovudine
Retrovir syrup	zidovudine
Retrovir tablets	zidovudine
Revatio	sildenafil citrate tablet
Revlimid	lenalidomide
Rexulti tablet	brexpiprazole tablet
Reyataz	atazanavir sulfate
Rhophylac Injection	(Rho(D) immune globulin)
RiaSTAP	fibrinogen concentrate (human)
Ribasphere RibaPak	ribavirin
Ridaura	auranofin
Risperdal	risperidone
Risperdal Consta	risperidone
Risperdal M-Tab	risperidone
Risperdal Oral Solution	risperidone
Rituxan	rituximab
Rituxan RA	rituximab
Rixubis	coagulation factor IX (recombinant)
Roxicodone Tablet	oxycodone
Rozerem	ramelteon
Rytary Capsule; Extended Release	carbidopa/levodopa
Rythmol SR	propafenone hydrochloride
Sabril Powder for Oral Solution 500mg	vigabatrin
Sabril Tablet 500mg	vigabatrin
Safyral	drospirenone/ethinyl estradiol/levomefolate calcium
Saizen	somatropin
Samsca Tablets 15mg, 30mg	tolvaptan
Sancuso	Granisetron Transdermal System
Sandimmune	cyclosporine
Sandostatin LAR	octreotide acetate
Saphris sublingual tablets	asenapine maleate
Savaysa tablet	edoxaban tablet
Savella	milnacipran HCl tablets
Savella Titration Pak	milnaciprab
Sculptra	poly-L-lactic acid
Selzentry	maraviroc
Sensipar	cinacalcet HCl
Serevent Diskus (Inhalation Powder)	salmeterol xinafoate
Seroquel XR	guetiapine furnarate
Serostim	somatropin
Signifor Injection	Pasireotide
Signifor LAR Injection	pasireotide
Silsoft Contact Lenses	Silsoft Contact Lenses
Simbrinza	brinzolamide/brimonidine tartrate suspension
Simponi	golimumab
Simponi ARIA Injection	golimumab
Singulair 4mg Oral Granules	montelukast sodium
Skelaxin	metaxalone
Skyla	levonorgestrel-releasing intrauterine system
Soliris	eculizumab
Somatuline Depot Injection	lanreotide acetate
Somavert	pegvisomant
Sonata	zaleplon
Soolantra cream	ivermectin cream
Soriatane Capsules	acitretin
Sorilux foam	calcipotriene
Sovaldi Tablet	sofosbuvir
Spiriva HandiHaler	tiotropium bromide inhalation powder
Spiriva Respimat Spray	tiotropium bromide
Sporanox Casules	itraconazole
Sporanox Oral Solution	itraconazole
Sprycel	dasatinib
Stelara	ustekinumab
Stimate	desmopressin acetate
Stiolto Respimat	tiotropium bromide and olodaterol
Stivarga	regorafenib
Strattera	atomoxetine hcl
Strensiq injection	asfotase alfa injection
Stribild tablet	elvitegravir/cobicistat/emtricitabine/tenofovir disoproxil fumarate
Striverdi Respimat Spray	olodaterol
Stromectol	Ivermectin
Suboxone Sublingual Film	buprenorphine and naloxone
Sucraid Oral Solution	sacrosidase
SumavelDosePro Needle-Free Delivery System	sumatriptan injection
Supprelin LA	histrelin acetate; subcutaneous implant
Suprenza	phentermine HCI
Sustiva	efavirenz
Sutent	sunitinib malate
Sylatron	peginterferon alfa-2b
Sylvant	siltuximab
Symbicort	budesonide/formoterol fumarate dihydrate
Symbyax	olanzapine and fluoxetine hcl
SymlinPen	pramlintide acetate
Symmetrel	amantadine
Synagis	palivizumab
Synarel	nafarelin acetate
Synjardy	empagliflozin/metformin hydrochloride
Synribo	omacetaxine mepesuccinate
Synthroid Tablets	levothyroxine sodium tablets, USP
Synvisc	hyaluronic acid derivatives
Synvisc-One Injection	hylan G-F 20
Syprine capsules	trientine hcl
Systane	systane
Taclonex Topical Suspension	calcipotriene/betamethasone/dipropionate
Tafinlar	dabrafenib
Tagrisso	osimertinib
Taltz	ixekizumab
Tanzeum injection	albiglutide
Tarceva	erlotinib
Targretin	bexarotene
Targretin Gel 1%	bexarotene
Tasigna	nilotinib
Tasmar tablets	talcapone
Tazorac Cream .05%	tazarotene
Tazorac Cream .1%	tazarotene
Tazorac Gel .05%	tazarotene
Tazorac Gel .1%	tazarotene
Tecentriq	atezolizumab
Tecfidera Capsule; Delayed Release	dimethyl fumarate
Technivie	ombitasvir, paritaprevir and ritonavir
Teflaro	ceftaroline
Tegretol	carbamazepine
Tegretol XR	carbamazepine extended release
Temodar	temozolomide
Tenivac	tetanus and diptheria toxoids absorbed
Tessalon Capsule	benzonatate
Thalitone	chlorthalidone tablets, USP
Thalomid	thalidomide
Theracys	BCG Live (Intravesical)
Thyrogen injection	thyrotropin alfa
Tikosyn	dofetilide
Tilade	nedocromil sodium
Tirosint Capsules	levothyroxine
Tivicay tablet	dolutegravir
TNKase	tenecteplase
Tobi	tobramycin
TOBI Podhaler	tobramycin inhalation powder
Tobradex ST	tobramycin / dexamethasone suspension
Tobrex ophthalmic ointment	tobramycin and dexamethasone ointment
Tobrex ophthalmic solution	tobramycin and dexamethasone suspension
Tofranil (tablets)	imipramine
Tofranil-PM (tablets)	imipramine
Tolerex	tolerex
Topamax Sprinkle Capsules	topiramate
Topamax tablets	topiramate
Torisel	temsirolimus
Toujeo	insulin glargine (rDNA origin) injection
Toviaz	fesoterodine fumarate
Tracleer tablets	bosentan
Tradjenta	linagliptin
Travatan Z	travoprost solution
Treanda	bendamustine hcl
Trecator Tablets	ethionamide
Trelstar	triptorelin pamoate for injectable suspension
Tretten Injection	coagulation factor Xlll A-Subunit (rDNA)
Treximet Tablet	naproxen sodium/sumatriptan succinate
Tribenzor	olmesartan medoxomil, amlodipine, hydrochlorothiazide
Triesence	triamcinolone acetonide injectable suspension
Trileptal	oxcarbazepine
Trintellix	vortioxetine
Trisenox	arsenic trioxide
Trizivir (Tablets)	abacavir sulfate, lamivudine, and zidovudine)
Trokendi XR Capsule	topiramate
Trulicity	dulaglutide
Trusopt	dorzolamide HCL
Truvada	tenofovir disoproxil / emtricitabine
Tudorza Pressair	aclidinium bromide inhalation powder
TussiCaps Extended-Release Capsules	chlorpheniramine/hydrocodone
Twinrix	combined hepatitis A (inactivated virus) and hepatitis B vaccine
Tybost	cobicistat
Tygacil	tigecycline
Tykerb	lapatinib tablets
Tysabri Vial	natalizumab
Tyvaso inhalation solution	treprostinil
Tyzeka	telbivudine
Uceris	budesonide
Uloric	febuxostat
Ultracet	tramadol hydrochloride/acetaminophen tablets
Ultresa	pancrelipase
Uribel Capsules	Methenamine, Sodium Phosphate Monobasic, Phenyl Salicylate, Methylene Blue, Hyoscyamine Sulfate
Urocit-K	potassium citrate
V-Go Disposable Insulin Delivery	insulin delivery device
Valcyte	valganciclovir
Vaqta	Hepatitis A vaccine, inactivated
Varivax	Varicella Virus vaccine live
Varizig	varicella zoster immune globulin (human)
Varubi tablet	rolapitant tablet
Vascepa	icosapent ethyl
Vectibix	panitumumab
Velcade	bortezomib
Veletri Injection	epoprostenol
Velphoro Chewable Tablets	sucroferric oxyhydroxide
Veltassa	patiromer
Veltin Gel	clindamycin phosphate/tretinoin
Venclexta	venetoclax
Venofer	iron sucrose
Ventavis	iloprost
Ventolin HFA	albuterol sulfate HFA inhalation aerosol
Veramyst Nasal Spray	fluticasone furoate
VESIcare	solifenacin succinate
Vfend	voriconazole
Viagra	sildenefil citrate
Vibativ Vial 750mg	telavancin
Viberzi	eluxadoline
Victoza 6mg/ml 2x3mL	liraglutide (rDNA) injection
Victoza 6mg/ml 3x3mL	liraglutide (rDNA) injection
Vidaza	azacitidine
Viekira Pak	ombitasvir/paritaprevir/ritonavir/dasabuvir
Viekira XR	dasabuvir, ombitasvir, paritaprevir, and ritonavir
Vigamox	moxifloxacin hydrochloride solution
Viibryd tablets	vilazodone
Vimovo	naproxen and esomeprazole magnesium
Vimpat tablets	lacosamide
Viokace tablets	pancrelipase
Viracept	nelfinavir mesylate
Viramune XR	nevirapine
Viread	tenofovir disoproxil fumarate
Viroptic	trifluridine ophthalmic solution
Vistaril	hydroxyzine pamoate
Vistide	cidofovir
Visudyne	verteporfin for injection
Vitekta	elvitegravir tablets
Vivactil tablets	protripyline
Vivitrol	naltrexone for extended-release injectable suspension
Vivonex Pediatric	vivonex pediatric
Vivonex Plus	vivonex plus
Vivonex RTF	vivonex RTF
Vivonex T.E.N.	vivonex T.E.N.
Votrient	pazopanib
VPRIV Injection	velaglucerase alfa
Vraylar	cariprazine
Vsl#3 Ds	medical food
Vytorin	ezetimibe/simvastatin
Vyvanse	lisdexamfetamine dimesylate capsules
Welchol	colesevelam HCI
Wellbutrin XL	bupropion hcl
Wilate	vonwillebrand factor/coagulation factor Vlll complex (human) liquid
WINRHO SDF	winrho sdf
Xalatan	latanoprost solution
Xalkori	crizotinib
Xanax	alprazolam
Xarelto	rivaroxaban tablets
Xeljanz tablet	tofacitinib citrate
Xenazine Tablets	tetrabenazine
Xeomin Injection	incobotulinumtoxinA
XGEVA	denosumab
Xiaflex Injection	collagenase clostridium histolyticum
Xifaxan	rifaximin
Xigduo XR	dapagliflozin/metformin
Xiidra	lifitegrast ophthalmic solution)
Xofigo injection	radium Ra 223 dichloride
Xolair	omalizumab
Xopenex	levalbuterol hcl
Xtandi	enzalutamide
Xyntha	antihemophiliam factor (recombinant)
Xyrem	gammahydroxybutyrate
Yasmin	drospirenone/ethinyl estradiol tablets
Yaz	drospirenone & ethinyl estradiol
Yervoy	ipilimumab
Yondelis	trabectedin
Zaltrap	ziv-afilibercep
Zarontin	ethosuximide
Zarxio	filgrastim-sndz
Zavesca capsule	miglustat
Zelapar	selegiline HCI
Zelboraf	vemurafenib
Zemaira	Alpha1-Proteinase Inhibitor (Human)
Zenpep capsules	pancrelipase
Zepatier	elbasvir/grazoprevir
Zerbaxa Injection	ceftolozane/tazobactam
Zetia	ezetimibe
Zetonna Nasal Aerosol	ciclesonide
Zevalin	ibritumomab tiuxetan
Ziagen oral solution	abacavir sulfate
Ziagen tablets	abacavir sulfate
Zinecard	dextrazoxane
Zioptan opthalmic solution	tafluprost
Zirgan	ganciclovir ophthalmic gel
Zithromax	azithromycin
Zmax	azithromycin extended release
Zoladex	goserelin acetate
Zolinza	vorinostat
Zoloft	sertraline HCI
Zometa	zoledronic acid
Zomig (nasal spray)	zolmitriptan
Zomig (tablets)	zolmitriptan
Zomig orally disintegrated tablets ZMT	zolmitriptan
Zortress	everolimus
Zostavax	Zoster vaccine live
Zovirax (cream)	acyclovir
Zovirax (Ointment)	acyclovir
Zubsolv Tablet; Sublingual	buprenorphine/naloxone
Zurampic	lesinurad
Zydelig Tablet	idelalisib
Zyflo CR	zileuton
Zykadia	ceritinib
Zylet	loteprednol etabonate and tobramycin ophthalmic suspension
Zyprexa	olanzapine
Zyprexa Relprevv	olanzapine
Zyprexa Zydis	olanzapine
Zytiga tablets	abiraterone acetate
Zyvox	linezolid
 
